Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,64945,,848609,,,4
H4,2016,2016,2016,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,2675100,,,,41450604,,681423724,,,6
H4,2016,2016,2016,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,977770,,,,14137931,,630051299,,,6
H4,2016,2016,2016,6,1,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,16998342,,18274189,,,0
H4,2016,2016,2016,6,1,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,1575126,,76199,,,0
H4,2016,2016,2016,6,1,4,Re-Import,288,Ghana,GHA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,44861,,70345,,,0
H4,2016,2016,2016,6,1,1,Import,296,Kiribati,KIR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,3862,,,,,,362730,,,4
H4,2016,2016,2016,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,124443,,,,1440970,,11928753,,,0
H4,2016,2016,2016,6,1,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,14587,,,,218409,,4374141,,,0
H4,2016,2016,2016,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,25776,,344950,,,2
